,labels,img_name
0,psoriasis,psoriasis38.jpg
1,psoriasis,psoriasis-scalp20.jpg
2,psoriasis,psoriasis-congenital4.jpg
3,psoriasis,psoriasis-pustular54.jpg
4,psoriasis,psoriasis_nail84.jpg
5,psoriasis,psoriasis_nail97.jpg
6,psoriasis,psoriasis-genital7.jpg
7,psoriasis,sebopsoriasis1.jpg
8,psoriasis,psoriasis78.jpg
9,psoriasis,psoriasis_guttate14.jpg
10,psoriasis,generalised_pustular_psoriasis2.jpg
11,psoriasis,parapsoriasis-large-plaque12.jpg
12,psoriasis,psoriasis-genital21.jpg
13,psoriasis,psoriasis-arthropathica18.jpg
14,psoriasis,psoriasis_guttate18.jpg
15,psoriasis,psoriasis_chronic_plaque6.jpg
16,psoriasis,psoriasis_chronic_plaque27.jpg
17,psoriasis,psoriasis-scalp5.jpg
18,psoriasis,psoriasis-scalp15.jpg
19,psoriasis,psoriasis-arthropathica7.jpg
20,psoriasis,psoriasis_nail82.jpg
21,psoriasis,psoriasis_nail32.jpg
22,psoriasis,psoriasis-pustular27.jpg
23,psoriasis,psoriasis_nail83.jpg
24,psoriasis,psoriasis81.jpg
25,psoriasis,parapsoriasis-large-plaque4.jpg
26,psoriasis,psoriasis_nail81.jpg
27,psoriasis,parapsoriasis-large-plaque11.jpg
28,psoriasis,parapsoriasis-large-plaque1.jpg
29,psoriasis,parapsoriasis-large-plaque8.jpg
30,psoriasis,psoriasis-genital13.jpg
31,psoriasis,psoriasis_chronic_plaque5.jpg
32,psoriasis,psoriasis-in-a-child9.jpg
33,psoriasis,psoriasis44.jpg
34,psoriasis,psoriasis75.jpg
35,psoriasis,psoriasis_guttate32.jpg
36,psoriasis,psoriasis_nail110.jpg
37,psoriasis,psoriasis93.jpg
38,psoriasis,psoriasis-of-hands6.jpg
39,psoriasis,psoriasis_chronic_plaque18.jpg
40,psoriasis,psoriasis_guttate37.jpg
41,psoriasis,psoriasis_nail85.jpg
42,psoriasis,psoriasis-pustular79.jpg
43,psoriasis,sebopsoriasis3.jpg
44,psoriasis,psoriasis-inversa27.jpg
45,psoriasis,psoriasis-arthropathica9.jpg
46,psoriasis,psoriasis-inversa1.jpg
47,psoriasis,psoriasis-pustular70.jpg
48,psoriasis,psoriasis_nail89.jpg
49,psoriasis,psoriasis27.jpg
50,psoriasis,psoriasis-inversa3.jpg
51,psoriasis,psoriasis89.jpg
52,psoriasis,psoriasis-pustular14.jpg
53,psoriasis,psoriasis_guttate21.jpg
54,psoriasis,psoriasis-genital23.jpg
55,psoriasis,psoriasis_guttate36.jpg
56,psoriasis,psoriasis-inversa31.jpg
57,psoriasis,psoriasis-arthropathica15.jpg
58,psoriasis,psoriasis_guttate4.jpg
59,psoriasis,psoriasis25.jpg
60,psoriasis,psoriasis-pustular24.jpg
61,psoriasis,psoriasis_nail13.jpg
62,psoriasis,arthropathic_psoriasis2.jpg
63,psoriasis,psoriasis_chronic_plaque19.jpg
64,psoriasis,generalised_pustular_psoriasis4.jpg
65,psoriasis,psoriasis_chronic_plaque1.jpg
66,psoriasis,psoriasis_nail52.jpg
67,psoriasis,psoriasis10.jpg
68,psoriasis,psoriasis_chronic_plaque15.jpg
69,psoriasis,psoriasis16.jpg
70,psoriasis,psoriasis-pustular12.jpg
71,psoriasis,psoriasis_nail44.jpg
72,psoriasis,psoriasis4.jpg
73,psoriasis,psoriasis_chronic_plaque29.jpg
74,psoriasis,psoriasis_nail61.jpg
75,psoriasis,psoriasis8.jpg
76,psoriasis,psoriasis_nail34.jpg
77,psoriasis,psoriasis-pustular50.jpg
78,psoriasis,psoriasis95.jpg
79,psoriasis,psoriasis_chronic_plaque32.jpg
80,psoriasis,psoriasis-palms-soles6.jpg
81,psoriasis,psoriasis-inversa38.jpg
82,psoriasis,psoriasis_nail55.jpg
83,psoriasis,psoriasis-pustular40.jpg
84,psoriasis,psoriasis_nail56.jpg
85,psoriasis,psoriasis-congenital3.jpg
86,psoriasis,psoriasis_chronic_plaque33.jpg
87,psoriasis,psoriasis56.jpg
88,psoriasis,psoriasis_guttate23.jpg
89,psoriasis,psoriasis_nail68.jpg
90,psoriasis,psoriasis-inversa23.jpg
91,psoriasis,psoriasis_nail24.jpg
92,psoriasis,psoriasis_nail99.jpg
93,psoriasis,psoriasis-pustular61.jpg
94,psoriasis,psoriasis66.jpg
95,psoriasis,psoriasis-pustular30.jpg
96,psoriasis,parapsoriasis-large-plaque13.jpg
97,psoriasis,psoriasis-inversa39.jpg
98,psoriasis,psoriasis67.jpg
99,psoriasis,psoriasis54.jpg
100,psoriasis,psoriasis-inversa9.jpg
101,psoriasis,generalised_pustular_psoriasis17.jpg
102,psoriasis,psoriasis-palms-soles1.jpg
103,psoriasis,psoriasis-pustular6.jpg
104,psoriasis,psoriasis92.jpg
105,psoriasis,psoriasis_chronic_plaque39.jpg
106,psoriasis,psoriasis-genital11.jpg
107,psoriasis,psoriasis57.jpg
108,psoriasis,parapsoriasis-small-plaque-type3.jpg
109,psoriasis,psoriasis-inversa6.jpg
110,psoriasis,psoriasis_nail62.jpg
111,psoriasis,inverse_psoriasis2.jpg
112,psoriasis,psoriasis_nail98.jpg
113,psoriasis,psoriasis-scalp24.jpg
114,psoriasis,psoriasis-genital14.jpg
115,psoriasis,parapsoriasis-large-plaque7.jpg
